Cluster	Name	GO terms	GO source	Description (Direct description or transfer from target)
1	Zm00001d023222	GO:0005634 nucleus		
1	Zm00001d023222	GO:0051327 meiotic M phase		
1	Zm00001d023222	GO:0006888 ER to Golgi vesicle-mediated transport		
1	Zm00001d023222	GO:0006487 protein N-linked glycosylation		
1	Zm00001d023222	GO:0010388 cullin deneddylation		
1	Zm00001d023222	GO:0016021 integral component of membrane		
1	Zm00001d023222	GO:0010332 response to gamma radiation		
1	Zm00001d023222	GO:0010564 regulation of cell cycle process		
1	Zm00001d023222	GO:0008641 small protein activating enzyme activity		
1	Zm00001d023222	GO:0046686 response to cadmium ion		
1	Zm00001d023222	GO:0016579 protein deubiquitination		
1	Zm00001d023222	GO:0005524 ATP binding		
1	Zm00001d023222	GO:0006310 DNA recombination		
1	Zm00001d023222	GO:0000278 mitotic cell cycle		
1	Zm00001d023222	GO:0007126 meiotic nuclear division		
1	Zm00001d023222	GO:0045893 positive regulation of transcription, DNA-templated		
1	Zm00001d023222	GO:0009407 toxin catabolic process		
1	Zm00001d023222	GO:0005886 plasma membrane		
1	Zm00001d023222	GO:0080129 proteasome core complex assembly		
1	Zm00001d023222	GO:0000741 karyogamy		
1	Zm00001d023222	GO:0004842 ubiquitin-protein transferase activity		
1	Zm00001d023222	GO:0009506 plasmodesma		
1	Zm00001d023222	GO:0009640 photomorphogenesis		
1	Zm00001d023222	GO:0051707 response to other organism		
1	Zm00001d023222	GO:0043090 amino acid import		
1	Zm00001d023222	GO:0032204 regulation of telomere maintenance		
1	Zm00001d023222	GO:0009560 embryo sac egg cell differentiation		
1	Zm00001d023222	GO:0006412 translation		
1	Zm00001d023222	GO:0016567 protein ubiquitination		
1	Zm00001d023222	GO:0043161 proteasome-mediated ubiquitin-dependent protein catabolic process		
1	Zm00001d023222	GO:0051788 response to misfolded protein		
1	Zm00001d023222	GO:0005829 cytosol		
1	Zm00001d025745	GO:0009579 thylakoid	 --- 	 --- 
1	Zm00001d025745	GO:0009570 chloroplast stroma		
1	Zm00001d025745	GO:0006626 protein targeting to mitochondrion		
1	Zm00001d025745	GO:0005739 mitochondrion		
1	Zm00001d025745	GO:0009658 chloroplast organization		
1	Zm00001d025745	GO:0009790 embryo development		
1	Zm00001d025745	GO:0042742 defense response to bacterium		
1	Zm00001d025745	GO:0009817 defense response to fungus, incompatible interaction		
1	Zm00001d025745	GO:0032544 plastid translation		
1	Zm00001d025745	GO:0005507 copper ion binding		
1	Zm00001d025745	GO:0019408 dolichol biosynthetic process		
1	Zm00001d025745	GO:0043023 ribosomal large subunit binding		
1	Zm00001d024525	GO:0006468 protein phosphorylation	 --- 	 --- 
1	Zm00001d024525	GO:0005802 trans-Golgi network		
1	Zm00001d024525	GO:0005840 ribosome		
1	Zm00001d024525	GO:0016021 integral component of membrane		
1	Zm00001d024525	GO:0006810 transport		
1	Zm00001d024525	GO:0005774 vacuolar membrane		
1	Zm00001d024525	GO:0003735 structural constituent of ribosome		
1	Zm00001d024525	GO:0004872 receptor activity		
1	Zm00001d024525	GO:0004871 signal transducer activity		
1	Zm00001d024525	GO:0004672 protein kinase activity		
1	Zm00001d024525	GO:0009506 plasmodesma		
1	Zm00001d024525	GO:0006412 translation		
1	Zm00001d024525	GO:0005768 endosome		
1	Zm00001d024525	GO:0009505 plant-type cell wall		
1	Zm00001d024525	GO:0005524 ATP binding		
1	Zm00001d024525	GO:0051641 cellular localization		
1	Zm00001d014673	GO:0009207 purine ribonucleoside triphosphate catabolic process	 --- 	 --- 
1	Zm00001d014673	GO:0009826 unidimensional cell growth		
1	Zm00001d014673	GO:0010501 RNA secondary structure unwinding		
1	Zm00001d014673	GO:0005730 nucleolus		
1	Zm00001d014673	GO:0010468 regulation of gene expression		
1	Zm00001d014673	GO:0005829 cytosol		
1	Zm00001d014673	GO:0009154 purine ribonucleotide catabolic process		
1	Zm00001d014673	GO:0004004 ATP-dependent RNA helicase activity		
1	Zm00001d014673	GO:0005774 vacuolar membrane		
1	Zm00001d014673	GO:0006413 translational initiation		
1	Zm00001d014673	GO:0009506 plasmodesma		
1	Zm00001d014673	GO:0005886 plasma membrane		
1	Zm00001d014673	GO:0046686 response to cadmium ion		
1	Zm00001d014673	GO:0009651 response to salt stress		
1	Zm00001d014673	GO:0009505 plant-type cell wall		
1	Zm00001d014673	GO:0003743 translation initiation factor activity		
1	Zm00001d014673	GO:0046130 purine ribonucleoside catabolic process		
1	Zm00001d014673	GO:0006096 glycolytic process		
1	Zm00001d014673	GO:0005524 ATP binding		
1	Zm00001d014673	GO:0006094 gluconeogenesis		
1	Zm00001d012633	GO:0006635 fatty acid beta-oxidation	 --- 	 --- 
1	Zm00001d012633	GO:0016558 protein import into peroxisome matrix		
1	Zm00001d012633	GO:0016021 integral component of membrane		
1	Zm00001d012633	GO:0006499 N-terminal protein myristoylation		
1	Zm00001d012633	GO:0006412 translation		
1	Zm00001d012633	GO:0005576 extracellular region		
1	Zm00001d012633	GO:0004190 aspartic-type endopeptidase activity		
1	Zm00001d012633	GO:0030163 protein catabolic process		
1	Zm00001d012633	GO:0006508 proteolysis		
1	Zm00001d012633	GO:0009505 plant-type cell wall		
1	Zm00001d012633	GO:0031225 anchored component of membrane		
1	Zm00001d013730	GO:0022625 cytosolic large ribosomal subunit	 --- 	 --- 
1	Zm00001d013730	GO:0031323 regulation of cellular metabolic process		
1	Zm00001d013730	GO:0005739 mitochondrion		
1	Zm00001d013730	GO:0007166 cell surface receptor signaling pathway		
1	Zm00001d013730	GO:0009653 anatomical structure morphogenesis		
1	Zm00001d013730	GO:0042981 regulation of apoptotic process		
1	Zm00001d013730	GO:0044710 single-organism metabolic process		
1	Zm00001d013730	GO:0016043 cellular component organization		
1	Zm00001d013730	GO:0003735 structural constituent of ribosome		
1	Zm00001d013730	GO:0048518 positive regulation of biological process		
1	Zm00001d013730	GO:0051704 multi-organism process		
1	Zm00001d013730	GO:0010468 regulation of gene expression		
1	Zm00001d013730	GO:0009888 tissue development		
1	Zm00001d013730	GO:0043412 macromolecule modification		
1	Zm00001d013730	GO:0022008 neurogenesis		
1	Zm00001d013730	GO:0007350 blastoderm segmentation		
1	Zm00001d013730	GO:0051179 localization		
1	Zm00001d013730	GO:0003008 system process		
1	Zm00001d013730	GO:0008097 5S rRNA binding		
1	Zm00001d013730	GO:0050897 cobalt ion binding		
1	Zm00001d013730	GO:0006412 translation		
1	Zm00001d013730	GO:0003729 mRNA binding		
1	Zm00001d002340	GO:0007548 sex differentiation	 --- 	 --- 
1	Zm00001d002340	GO:0044702 single organism reproductive process		
1	Zm00001d002340	GO:0019221 cytokine-mediated signaling pathway		
1	Zm00001d002340	GO:0031124 mRNA 3'-end processing		
1	Zm00001d002340	GO:0005829 cytosol		
1	Zm00001d002340	GO:0000932 cytoplasmic mRNA processing body		
1	Zm00001d002340	GO:2000327 positive regulation of ligand-dependent nuclear receptor transcription coactivator activity		
1	Zm00001d002340	GO:0004324 ferredoxin-NADP+ reductase activity		
1	Zm00001d002340	GO:0006355 regulation of transcription, DNA-templated		
1	Zm00001d002340	GO:0030015 CCR4-NOT core complex		
1	Zm00001d002340	GO:0005488 binding		
1	Zm00001d002340	GO:0017148 negative regulation of translation		
1	Zm00001d002340	GO:0007275 multicellular organism development		
1	Zm00001d002340	GO:0005634 nucleus		
1	Zm00001d002340	GO:0000289 nuclear-transcribed mRNA poly(A) tail shortening		
1	Zm00001d004541	GO:0044710 single-organism metabolic process	 --- 	 --- 
1	Zm00001d004541	GO:0000741 karyogamy		
1	Zm00001d004541	GO:0008173 RNA methyltransferase activity		
1	Zm00001d004541	GO:0006396 RNA processing		
1	Zm00001d004541	GO:0005829 cytosol		
1	Zm00001d004541	GO:0006606 protein import into nucleus		
1	Zm00001d004541	GO:0000166 nucleotide binding		
1	Zm00001d004541	GO:0061158 3'-UTR-mediated mRNA destabilization		
1	Zm00001d004541	GO:0008270 zinc ion binding		
1	Zm00001d004541	GO:0001510 RNA methylation		
1	Zm00001d004541	GO:0034660 ncRNA metabolic process		
1	Zm00001d004541	GO:0005634 nucleus		
1	Zm00001d004541	GO:0009560 embryo sac egg cell differentiation		
1	Zm00001d004541	GO:0044743 intracellular protein transmembrane import		
1	Zm00001d004541	GO:0003730 mRNA 3'-UTR binding		
1	Zm00001d040429	GO:0048449 floral organ formation	 --- 	 --- 
1	Zm00001d040429	GO:0019048 modulation by virus of host morphology or physiology		
1	Zm00001d040429	GO:0006346 methylation-dependent chromatin silencing		
1	Zm00001d040429	GO:0000724 double-strand break repair via homologous recombination		
1	Zm00001d040429	GO:0000911 cytokinesis by cell plate formation		
1	Zm00001d040429	GO:0051567 histone H3-K9 methylation		
1	Zm00001d040429	GO:0000023 maltose metabolic process		
1	Zm00001d040429	GO:0051225 spindle assembly		
1	Zm00001d040429	GO:0043085 positive regulation of catalytic activity		
1	Zm00001d040429	GO:0005737 cytoplasm		
1	Zm00001d040429	GO:0006306 DNA methylation		
1	Zm00001d040429	GO:0005719 nuclear euchromatin		
1	Zm00001d040429	GO:0009555 pollen development		
1	Zm00001d040429	GO:0051322 anaphase		
1	Zm00001d040429	GO:0009616 virus induced gene silencing		
1	Zm00001d040429	GO:0009965 leaf morphogenesis		
1	Zm00001d040429	GO:0048481 plant ovule development		
1	Zm00001d040429	GO:0006261 DNA-dependent DNA replication		
1	Zm00001d040429	GO:0030529 intracellular ribonucleoprotein complex		
1	Zm00001d040429	GO:0010529 negative regulation of transposition		
1	Zm00001d040429	GO:0016572 histone phosphorylation		
1	Zm00001d040429	GO:0048645 organ formation		
1	Zm00001d040429	GO:0019252 starch biosynthetic process		
1	Zm00001d040429	GO:0005730 nucleolus		
1	Zm00001d040429	GO:0000279 M phase		
1	Zm00001d040429	GO:0008283 cell proliferation		
1	Zm00001d040429	GO:0010014 meristem initiation		
1	Zm00001d040429	GO:0007267 cell-cell signaling		
1	Zm00001d040429	GO:0031048 chromatin silencing by small RNA		
1	Zm00001d040429	GO:0010073 meristem maintenance		
1	Zm00001d040429	GO:0044703 multi-organism reproductive process		
1	Zm00001d040429	GO:0010267 production of ta-siRNAs involved in RNA interference		
1	Zm00001d040429	GO:0051726 regulation of cell cycle		
1	Zm00001d040429	GO:0009816 defense response to bacterium, incompatible interaction		
1	Zm00001d040429	GO:0035196 production of miRNAs involved in gene silencing by miRNA		
1	Zm00001d040429	GO:0035197 siRNA binding		
1	Zm00001d040429	GO:0006275 regulation of DNA replication		
1	Zm00001d040429	GO:0009909 regulation of flower development		
1	Zm00001d040429	GO:0009855 determination of bilateral symmetry		
1	Zm00001d040429	GO:0015030 Cajal body		
1	Zm00001d040429	GO:0006413 translational initiation		
1	Zm00001d040429	GO:0016444 somatic cell DNA recombination		
1	Zm00001d040429	GO:0003743 translation initiation factor activity		
1	Zm00001d022591	GO:0006629 lipid metabolic process	 --- 	 --- 
1	Zm00001d022591	GO:0016021 integral component of membrane		
1	Zm00001d022591	GO:0003735 structural constituent of ribosome		
1	Zm00001d022591	GO:0003723 RNA binding		
1	Zm00001d022591	GO:0008374 O-acyltransferase activity		
1	Zm00001d022591	GO:0006412 translation		
1	Zm00001d022591	GO:0005840 ribosome		
1	Zm00001d003288	GO:0044710 single-organism metabolic process	 --- 	 --- 
1	Zm00001d003288	GO:0044707 single-multicellular organism process		
1	Zm00001d003288	GO:0005634 nucleus		
1	Zm00001d003288	GO:0065007 biological regulation		
1	Zm00001d003288	GO:0006413 translational initiation		
1	Zm00001d003288	GO:0009630 gravitropism		
1	Zm00001d003288	GO:0003743 translation initiation factor activity		
1	Zm00001d008387	GO:0003735 structural constituent of ribosome	 --- 	 --- 
1	Zm00001d008387	GO:0044710 single-organism metabolic process		
1	Zm00001d008387	GO:0042788 polysomal ribosome		
1	Zm00001d008387	GO:0022627 cytosolic small ribosomal subunit		
1	Zm00001d008387	GO:0009735 response to cytokinin		
1	Zm00001d008387	GO:0005618 cell wall		
1	Zm00001d008387	GO:0042256 mature ribosome assembly		
1	Zm00001d008387	GO:0000028 ribosomal small subunit assembly		
1	Zm00001d008387	GO:0006412 translation		
1	Zm00001d008387	GO:0009507 chloroplast		
1	Zm00001d008387	GO:0005886 plasma membrane		
1	Zm00001d008387	GO:0019843 rRNA binding		
1	Zm00001d008387	GO:0005774 vacuolar membrane		
1	Zm00001d008387	GO:0050789 regulation of biological process		
1	Zm00001d008387	GO:0009506 plasmodesma		
1	Zm00001d008387	GO:0003729 mRNA binding		
1	Zm00001d049761	GO:0032501 multicellular organismal process	 --- 	 --- 
1	Zm00001d049761	GO:0006487 protein N-linked glycosylation		
1	Zm00001d049761	GO:0005773 vacuole		
1	Zm00001d049761	GO:0005829 cytosol		
1	Zm00001d049761	GO:0016043 cellular component organization		
1	Zm00001d049761	GO:0009165 nucleotide biosynthetic process		
1	Zm00001d049761	GO:0006417 regulation of translation		
1	Zm00001d049761	GO:0009507 chloroplast		
1	Zm00001d049761	GO:0003729 mRNA binding		
1	Zm00001d036904	GO:0009207 purine ribonucleoside triphosphate catabolic process	 --- 	 --- 
1	Zm00001d036904	GO:0006414 translational elongation		
1	Zm00001d036904	GO:0046039 GTP metabolic process		
1	Zm00001d036904	GO:0005730 nucleolus		
1	Zm00001d036904	GO:0005773 vacuole		
1	Zm00001d036904	GO:0009154 purine ribonucleotide catabolic process		
1	Zm00001d036904	GO:0003924 GTPase activity		
1	Zm00001d036904	GO:0005739 mitochondrion		
1	Zm00001d036904	GO:1901069 guanosine-containing compound catabolic process		
1	Zm00001d036904	GO:0005886 plasma membrane		
1	Zm00001d036904	GO:0046686 response to cadmium ion		
1	Zm00001d036904	GO:0003746 translation elongation factor activity		
1	Zm00001d036904	GO:0009507 chloroplast		
1	Zm00001d036904	GO:0005525 GTP binding		
1	Zm00001d049763	GO:0006952 defense response	 --- 	 --- 
1	Zm00001d049763	GO:0044710 single-organism metabolic process		
1	Zm00001d049763	GO:0022625 cytosolic large ribosomal subunit		
1	Zm00001d049763	GO:0009617 response to bacterium		
1	Zm00001d049763	GO:0003735 structural constituent of ribosome		
1	Zm00001d049763	GO:0006412 translation		
1	Zm00001d008284	GO:0009407 toxin catabolic process	 --- 	 --- 
1	Zm00001d008284	GO:0006635 fatty acid beta-oxidation		
1	Zm00001d008284	GO:0000085 mitotic G2 phase		
1	Zm00001d008284	GO:0061578 Lys63-specific deubiquitinase activity		
1	Zm00001d008284	GO:0022402 cell cycle process		
1	Zm00001d008284	GO:0008047 enzyme activator activity		
1	Zm00001d008284	GO:0009651 response to salt stress		
1	Zm00001d008284	GO:0008233 peptidase activity		
1	Zm00001d008284	GO:0006096 glycolytic process		
1	Zm00001d008284	GO:0008541 proteasome regulatory particle, lid subcomplex		
1	Zm00001d008284	GO:0080129 proteasome core complex assembly		
1	Zm00001d008284	GO:0043161 proteasome-mediated ubiquitin-dependent protein catabolic process		
1	Zm00001d008284	GO:0005634 nucleus		
1	Zm00001d008284	GO:0065007 biological regulation		
1	Zm00001d008284	GO:0032403 protein complex binding		
1	Zm00001d008284	GO:0000278 mitotic cell cycle		
1	Zm00001d008284	GO:0006281 DNA repair		
1	Zm00001d008284	GO:0061135 endopeptidase regulator activity		
1	Zm00001d008284	GO:0006623 protein targeting to vacuole		
1	Zm00001d008284	GO:0046686 response to cadmium ion		
1	Zm00001d008284	GO:0006833 water transport		
1	Zm00001d008284	GO:0006972 hyperosmotic response		
1	Zm00001d008284	GO:0009266 response to temperature stimulus		
1	Zm00001d008284	GO:0010388 cullin deneddylation		
1	Zm00001d008284	GO:0009640 photomorphogenesis		
1	Zm00001d008284	GO:0007030 Golgi organization		
1	Zm00001d008284	GO:0051788 response to misfolded protein		
1	Zm00001d008284	GO:0005829 cytosol		
1	Zm00001d008284	GO:0006499 N-terminal protein myristoylation		
1	Zm00001d008284	GO:0009853 photorespiration		
1	Zm00001d008284	GO:0005576 extracellular region		
1	Zm00001d008284	GO:0006007 glucose catabolic process		
1	Zm00001d008284	GO:0006412 translation		
1	Zm00001d013241	GO:0045905 positive regulation of translational termination	 --- 	 --- 
1	Zm00001d013241	GO:0045901 positive regulation of translational elongation		
1	Zm00001d013241	GO:0006452 translational frameshifting		
1	Zm00001d013241	GO:0016788 hydrolase activity, acting on ester bonds		
1	Zm00001d013241	GO:0016740 transferase activity		
1	Zm00001d013241	GO:0003746 translation elongation factor activity		
1	Zm00001d013241	GO:0043022 ribosome binding		
1	Zm00001d012155	GO:0005840 ribosome	 --- 	 --- 
1	Zm00001d012155	GO:0006810 transport		
1	Zm00001d012155	GO:0003735 structural constituent of ribosome		
1	Zm00001d012155	GO:0003723 RNA binding		
1	Zm00001d012155	GO:0005886 plasma membrane		
1	Zm00001d012155	GO:0006412 translation		
1	Zm00001d006871	GO:0003735 structural constituent of ribosome	 --- 	 --- 
1	Zm00001d006871	GO:0044710 single-organism metabolic process		
1	Zm00001d006871	GO:0022627 cytosolic small ribosomal subunit		
1	Zm00001d006871	GO:0005634 nucleus		
1	Zm00001d006871	GO:0030686 90S preribosome		
1	Zm00001d006871	GO:0042256 mature ribosome assembly		
1	Zm00001d006871	GO:0000028 ribosomal small subunit assembly		
1	Zm00001d006871	GO:0000461 endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)		
1	Zm00001d006871	GO:0009507 chloroplast		
1	Zm00001d006871	GO:0005886 plasma membrane		
1	Zm00001d006871	GO:0009651 response to salt stress		
1	Zm00001d006871	GO:0000447 endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)		
1	Zm00001d006871	GO:0006412 translation		
1	Zm00001d006871	GO:0006407 rRNA export from nucleus		
1	Zm00001d009424	GO:0001026 TFIIIB-type transcription factor activity	 --- 	 --- 
1	Zm00001d009424	GO:0044710 single-organism metabolic process		
1	Zm00001d009424	GO:0000126 transcription factor TFIIIB complex		
1	Zm00001d009424	GO:0006384 transcription initiation from RNA polymerase III promoter		
1	Zm00001d009424	GO:0043488 regulation of mRNA stability		
1	Zm00001d009424	GO:0017025 TBP-class protein binding		
1	Zm00001d009424	GO:0006461 protein complex assembly		
1	Zm00001d009424	GO:0008270 zinc ion binding		
1	Zm00001d009424	GO:0045893 positive regulation of transcription, DNA-templated		
1	Zm00001d009424	GO:0070897 DNA-templated transcriptional preinitiation complex assembly		
1	Zm00001d009424	GO:0006413 translational initiation		
1	Zm00001d009424	GO:0003743 translation initiation factor activity		
1	Zm00001d046549	GO:0009207 purine ribonucleoside triphosphate catabolic process	 --- 	 --- 
1	Zm00001d046549	GO:0016607 nuclear speck		
1	Zm00001d046549	GO:0046039 GTP metabolic process		
1	Zm00001d046549	GO:0005730 nucleolus		
1	Zm00001d046549	GO:0005618 cell wall		
1	Zm00001d046549	GO:0009154 purine ribonucleotide catabolic process		
1	Zm00001d046549	GO:0003924 GTPase activity		
1	Zm00001d046549	GO:1901069 guanosine-containing compound catabolic process		
1	Zm00001d046549	GO:0045694 regulation of embryo sac egg cell differentiation		
1	Zm00001d046549	GO:0009793 embryo development ending in seed dormancy		
1	Zm00001d046549	GO:0019013 viral nucleocapsid		
1	Zm00001d046549	GO:0005681 spliceosomal complex		
1	Zm00001d046549	GO:0006397 mRNA processing		
1	Zm00001d046549	GO:0005886 plasma membrane		
1	Zm00001d046549	GO:0003746 translation elongation factor activity		
1	Zm00001d046549	GO:0006414 translational elongation		
1	Zm00001d046549	GO:0008380 RNA splicing		
1	Zm00001d046549	GO:0009506 plasmodesma		
1	Zm00001d046549	GO:0005525 GTP binding		
1	Zm00001d037774	GO:0009269 response to desiccation	 --- 	 --- 
1	Zm00001d037774	GO:0003700 transcription factor activity, sequence-specific DNA binding		
1	Zm00001d037774	GO:0009651 response to salt stress		
1	Zm00001d037774	GO:0007389 pattern specification process		
1	Zm00001d037774	GO:0009825 multidimensional cell growth		
1	Zm00001d037774	GO:0009536 plastid		
1	Zm00001d037774	GO:0009737 response to abscisic acid		
1	Zm00001d037774	GO:0009753 response to jasmonic acid		
1	Zm00001d037774	GO:0009734 auxin-activated signaling pathway		
1	Zm00001d037774	GO:0009616 virus induced gene silencing		
1	Zm00001d037774	GO:0009611 response to wounding		
1	Zm00001d037774	GO:0043481 anthocyanin accumulation in tissues in response to UV light		
1	Zm00001d037774	GO:0071555 cell wall organization		
1	Zm00001d037774	GO:0048513 animal organ development		
1	Zm00001d037774	GO:0009926 auxin polar transport		
1	Zm00001d037774	GO:0048646 anatomical structure formation involved in morphogenesis		
1	Zm00001d037774	GO:0048438 floral whorl development		
1	Zm00001d037774	GO:0048767 root hair elongation		
1	Zm00001d037774	GO:0000271 polysaccharide biosynthetic process		
1	Zm00001d037774	GO:0008361 regulation of cell size		
1	Zm00001d037774	GO:0009409 response to cold		
1	Zm00001d037774	GO:0010050 vegetative phase change		
1	Zm00001d037774	GO:0009913 epidermal cell differentiation		
1	Zm00001d037774	GO:0006355 regulation of transcription, DNA-templated		
1	Zm00001d037774	GO:0009932 cell tip growth		
1	Zm00001d037774	GO:0048439 flower morphogenesis		
1	Zm00001d037774	GO:0006417 regulation of translation		
1	Zm00001d037774	GO:0046983 protein dimerization activity		
1	Zm00001d037774	GO:0005634 nucleus		
1	Zm00001d037774	GO:0009630 gravitropism		
1	Zm00001d021426	GO:0016021 integral component of membrane	 --- 	 --- 
1	Zm00001d021426	GO:0006298 mismatch repair		
1	Zm00001d021426	GO:0050794 regulation of cellular process		
